,SID,SCAPN,SCSitus_NumNam,Building_age,Cap_rate_pro_forma,Cap_rate_actual,Land_value,Total_value,Assessed_yr,Floor_area_ratio,Num_floors,Price_per_sqft,Land_price_per_AC,Sale_date,Sale_price,Listing_broker_company
10765,S10766,"GA Fulton 13-0060-LL-053,054",GA Fulton 2135 Godby Rd,47.0,,,,,,0.42243694200000004,2.0,21.17,389572.91,10/8/96,10125000.0,Newmark Knight Frank
10766,S10767,GA Cobb 17-0581-0-001-0,GA Cobb 991 Wylie Rd,31.0,,,,,,0.253414604,3.0,21.64,238834.49,7/6/10,10000000.0,
10767,S10768,GA Muscogee 062-036-004,GA Muscogee 2001 Torch Hill Rd,67.0,,,1597750.0,8176806.0,2018.0,1.182346891,1.0,26.34,1356424.52,12/28/18,9900000.0,
10768,S10769,GA DeKalb 18-0124-01-101,GA DeKalb 1 Chatfield Dr,47.0,,,3190815.0,15740045.0,2005.0,0.20158116899999998,2.0,21.83,191661.73,1/6/06,9700000.0,
10769,S10770,GA Clayton 13-0142C-00B-001,GA Clayton 330 Arrowhead Blvd,49.0,,,,,,0.360680289,2.0,16.47,258764.13,2/23/16,9020000.0,
10770,S10771,GA Clarke 121D2-A-003,GA Clarke 2360 Broad St,51.0,,12.31,1422000.0,1510058.0,2011.0,0.190182895,2.0,29.49,244299.67,12/19/12,9000000.0,Cushman & Wakefield
10771,S10772,GA Cobb 17-0651-001,GA Cobb 861 Franklin Rd,46.0,,,2115270.0,14861000.0,2005.0,0.271370458,2.0,30.26,357739.09,12/15/05,9000000.0,Cushman & Wakefield
10772,S10773,GA Gwinnett S10773,GA Gwinnett 1355 Graves Rd,47.0,,,,,,0.283900038,3.0,24.32,300711.14,8/30/11,8880000.0,CBRE
10773,S10774,GA Fulton 12-2180-0505-049,GA Fulton 555 Eagles Crest Village Ln,34.0,,10.36,,,,0.294000067,3.0,39.96,511764.71,10/23/97,8787000.0,
10774,S10775,GA Clayton S10775,GA Clayton 8000 Highway 85,,,,,,,1.000000253,1.0,2.16,94086.45,8/16/18,8541638.0,
10775,S10776,GA DeKalb 16-0055-02-002,GA DeKalb 421 Meadowood Dr,49.0,,,2032000.0,14800000.0,,0.501272797,2.0,12.33,269224.68,12/14/12,8507500.0,
10776,S10777,GA Clayton 13-214C-00A-001,GA Clayton 8104 Webb Rd,31.0,,,,7798240.0,2009.0,0.21785916,3.0,16.35,155137.8,9/23/10,8500000.0,
10777,S10778,GA Richmond 192166040,GA Richmond 2425 Washington Rd,48.0,,,342450.0,6206316.0,2011.0,0.486044029,2.0,20.17,426954.73,2/29/12,8300000.0,
10778,S10779,GA Clayton S10779,GA Clayton 8000 Highway 85,,,,,,,1.000000253,1.0,2.03,88243.6,10/22/14,8011195.0,
10779,S10780,GA Fulton 13-0034-LL-114,GA Fulton 4555 Washington Rd,48.0,,,,,,0.383605863,3.0,17.0,283990.06,3/23/17,8000000.0,Engel Boelkers
