rate_id,description,description_data,rate,component_id,component_name,trnx_authorization_1,parent_partner_tier,parent_payout_region,contract_type_final,partner_type,start_date,end_date,standard_rate_only,domestic_ultimate_csn,precedence
50062,EIP Vertical-Subscription Renewal-Gold-Korea-Mature-Indirect VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,Korea-Mature,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
50063,EIP Vertical-Subscription Renewal-Reseller-Korea-Mature-Indirect VAR,{},0.125,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,Korea-Mature,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
50064,EIP Vertical-Subscription Renewal-Platinum-ASEAN-Emerging-Indirect VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,ASEAN-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
50065,EIP Vertical-Subscription Renewal-Gold-ASEAN-Emerging-Indirect VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,ASEAN-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
50066,EIP Vertical-Subscription Renewal-Reseller-ASEAN-Emerging-Indirect VAR,{},0.125,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,ASEAN-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
50067,EIP Vertical-Subscription Renewal-Platinum-Taiwan-Emerging-Indirect VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,Taiwan-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
50068,EIP Vertical-Subscription Renewal-Gold-Taiwan-Emerging-Indirect VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,Taiwan-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
50069,EIP Vertical-Subscription Renewal-Reseller-Taiwan-Emerging-Indirect VAR,{},0.125,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,Taiwan-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
50070,EIP Vertical-Subscription Renewal-Platinum-Greater China-Emerging-Indirect VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,Greater China-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
50071,EIP Vertical-Subscription Renewal-Gold-Greater China-Emerging-Indirect VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,Greater China-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
